 


Daily Averaged Summary
CHAMPAIGN WILLARD AP (IL)
WBAN ID: 94870
Lat/Lon/Elev: 40.0397/-88.2778/754ft.
 
Date,Max Hourly Temp (F),Min Hourly Temp (F),Max Wind Speed (mph),Total Precip (in),
2012-03-17,80,50,17,M,
2012-03-18,80,55,18,0.00,
2012-03-19,81,60,23,0.00,
2012-03-20,84,60,26,0.00,
2012-03-21,85,58,21,0.00,
2012-03-22,76,58,16,M,
2012-03-23,69,48,13,M,
2012-03-24,67,48,13,M,
2012-03-25,72,51,13,M,
2012-03-26,53,43,21,0.00,
2012-03-27,75,39,25,0.00,
2012-03-28,78,50,23,0.00,
2012-03-29,59,43,15,0.02,
2012-03-30,77,47,24,M,
2012-03-31,64,43,13,0.00,
2012-04-01,85,52,16,M,
2012-04-02,76,56,20,0.00,
2012-04-03,87,50,17,0.00,
2012-04-04,71,48,21,0.00,
2012-04-05,61,39,21,0.00,
2012-04-06,63,35,16,0.00,
2012-04-07,66,34,18,0.00,
2012-04-08,68,41,17,0.00,
2012-04-09,68,42,29,0.00,
2012-04-10,55,33,25,0.00,
2012-04-11,57,27,14,0.00,
2012-04-12,62,32,9,0.00,
2012-04-13,62,36,18,M,
2012-04-14,65,52,21,M,
2012-04-15,77,62,30,M,
2012-04-16,62,45,29,M,
2012-04-17,65,41,7,0.00,
2012-04-18,73,40,16,0.00,
2012-04-19,79,50,24,0.00,
2012-04-20,61,41,20,M,
2012-04-21,55,40,16,0.00,
2012-04-22,57,35,26,0.00,
2012-04-23,61,33,22,0.00,
2012-04-24,68,39,14,0.00,
2012-04-25,78,46,20,0.00,
2012-04-26,73,39,22,0.00,
2012-04-27,59,35,21,M,
2012-04-28,58,46,24,M,
2012-04-29,58,46,17,M,
2012-04-30,71,56,17,M,
2012-05-01,77,55,17,M,
2012-05-02,84,62,23,0.00,
2012-05-03,87,66,29,0.00,
2012-05-04,81,61,16,M,
2012-05-05,88,56,14,M,
2012-05-06,92,63,18,M,
2012-05-07,74,57,21,M,
2012-05-08,73,52,21,M,
2012-05-09,70,48,18,M,
2012-05-10,71,42,10,0.00,
2012-05-11,78,46,15,0.00,
2012-05-12,77,55,15,0.00,
2012-05-13,79,52,18,0.00,
2012-05-14,82,57,13,0.00,
2012-05-15,85,51,18,0.00,
2012-05-16,76,52,20,0.00,
2012-05-17,79,49,14,0.00,
2012-05-18,86,48,11,0.00,
2012-05-19,92,60,15,0.00,
2012-05-20,93,65,20,0.48,
2012-05-21,66,51,18,M,
2012-05-22,76,47,21,0.00,
2012-05-23,83,49,14,0.00,
2012-05-24,90,57,26,0.00,
2012-05-25,90,71,13,0.00,
2012-05-26,94,67,21,0.00,
2012-05-27,95,72,16,0.00,
2012-05-28,93,70,22,M,
2012-05-29,83,63,16,M,
2012-05-30,77,53,20,0.00,
2012-05-31,64,52,23,M,
2012-06-01,64,50,20,M,
2012-06-02,71,46,21,0.10,
2012-06-03,81,51,15,0.01,
2012-06-04,71,58,14,0.11,
2012-06-05,76,56,20,M,
2012-06-06,77,53,14,M,
2012-06-07,82,53,7,M,
2012-06-08,85,56,10,0.00,
2012-06-09,87,58,13,0.00,
2012-06-10,88,62,21,0.00,
2012-06-11,82,66,26,M,
2012-06-12,79,59,18,0.00,
2012-06-13,78,52,11,0.00,
2012-06-14,85,55,13,0.00,
2012-06-15,89,56,11,0.00,
2012-06-16,91,64,24,M,
2012-06-17,84,69,11,0.22,
2012-06-18,89,71,22,0.00,
2012-06-19,89,70,17,0.00,
2012-06-20,89,70,17,M,
2012-06-21,84,64,20,0.16,
2012-06-22,83,58,9,0.00,
2012-06-23,84,59,6,0.00,
2012-06-24,86,63,6,0.00,
2012-06-25,81,60,18,0.00,
2012-06-26,82,53,13,0.00,
2012-06-27,88,55,15,0.00,
2012-06-28,98,65,16,0.00,
2012-06-29,99,73,13,0.00,
2012-06-30,91,70,15,M,
2012-07-01,91,72,11,0.00,
2012-07-02,97,70,13,M,
2012-07-03,93,68,9,0.00,
2012-07-04,96,72,9,0.00,
2012-07-05,100,70,11,0.00,
2012-07-06,100,72,8,0.00,
2012-07-07,100,75,13,0.00,
2012-07-08,87,69,18,M,
2012-07-09,89,68,11,M,
2012-07-10,89,69,17,0.00,
2012-07-11,90,66,13,0.00,
2012-07-12,93,64,10,0.00,
2012-07-13,91,64,8,0.00,
2012-07-14,82,66,13,M,
2012-07-15,90,67,9,M,
2012-07-16,93,71,10,0.00,
2012-07-17,94,72,11,0.00,
2012-07-18,99,72,10,0.00,
2012-07-19,96,74,18,0.00,
2012-07-20,83,68,14,M,
2012-07-21,89,62,7,0.00,
2012-07-22,92,66,10,0.00,
2012-07-23,98,73,14,0.00,
2012-07-24,93,75,10,M,
2012-07-25,100,73,14,0.00,
2012-07-26,88,67,15,0.00,
2012-07-27,88,63,20,M,
2012-07-28,87,61,13,0.00,
2012-07-29,86,59,8,0.00,
2012-07-30,90,64,9,0.00,
2012-07-31,96,67,18,0.00,
2012-08-01,91,65,13,0.00,
2012-08-02,96,60,15,0.00,
2012-08-03,93,65,11,0.00,
2012-08-04,94,72,18,0.00,
2012-08-05,85,66,15,M,
2012-08-06,87,61,6,0.00,
2012-08-07,93,58,7,0.00,
2012-08-08,94,64,18,0.04,
2012-08-09,89,66,14,M,
2012-08-10,78,54,18,M,
2012-08-11,80,49,15,0.00,
2012-08-12,81,54,8,0.00,
2012-08-13,71,63,9,M,
2012-08-14,81,60,9,0.00,
2012-08-15,86,58,9,0.00,
2012-08-16,75,63,32,M,
2012-08-17,75,53,10,0.01,
2012-08-18,77,50,6,0.00,
2012-08-19,77,55,10,M,
2012-08-20,79,52,10,0.00,
2012-08-21,81,53,10,M,
2012-08-22,87,53,8,0.00,
2012-08-23,90,58,10,0.00,
2012-08-24,93,60,8,0.00,
2012-08-25,92,61,16,0.00,
2012-08-26,87,64,16,M,
2012-08-27,86,64,15,M,
2012-08-28,86,62,8,0.00,
2012-08-29,86,62,7,0.00,
2012-08-30,92,60,11,0.00,
2012-08-31,85,66,11,0.07,
2012-09-01,82,73,16,M,
2012-09-02,77,72,17,M,
2012-09-03,86,71,14,M,
2012-09-04,91,67,6,0.00,
2012-09-05,81,67,18,0.10,
2012-09-06,88,64,8,M,
2012-09-07,75,61,17,M,
2012-09-08,71,54,16,M,
2012-09-09,73,54,14,M,
2012-09-10,78,48,7,0.00,
2012-09-11,83,52,14,0.00,
2012-09-12,87,57,13,0.00,
2012-09-13,84,59,20,0.00,
2012-09-14,73,53,14,0.29,
2012-09-15,77,49,7,0.00,
2012-09-16,80,50,10,M,
2012-09-17,78,54,13,M,
2012-09-18,65,41,18,0.00,
2012-09-19,72,39,20,0.00,
2012-09-20,76,48,14,0.00,
2012-09-21,78,47,18,M,
2012-09-22,60,40,24,M,
2012-09-23,65,38,14,0.00,
2012-09-24,71,35,17,0.00,
2012-09-25,70,55,17,0.27,
2012-09-26,73,59,17,M,
2012-09-27,75,56,14,M,
2012-09-28,72,50,13,0.00,
2012-09-29,77,46,10,M,
2012-09-30,72,49,14,0.00,
2012-10-01,64,50,11,0.00,
2012-10-02,62,54,17,M,
2012-10-03,72,55,14,M,
2012-10-04,81,51,23,0.02,
2012-10-05,51,36,13,M,
2012-10-06,52,32,15,0.00,
2012-10-07,50,31,10,M,
2012-10-08,58,28,18,0.00,
2012-10-09,65,41,22,M,
2012-10-10,54,32,17,0.01,
2012-10-11,64,34,20,0.00,
2012-10-12,61,44,18,M,
2012-10-13,68,46,20,M,
2012-10-14,72,49,36,M,
2012-10-15,62,41,16,0.00,
2012-10-16,73,38,25,0.00,
2012-10-17,68,53,25,M,
2012-10-18,57,44,26,0.05,
2012-10-19,50,46,18,M,
2012-10-20,57,43,11,M,
2012-10-21,72,39,15,M,
2012-10-22,68,61,18,0.61,
2012-10-23,70,61,17,M,
2012-10-24,78,59,16,0.00,
2012-10-25,78,45,28,M,
2012-10-26,49,37,21,0.00,
2012-10-27,51,34,18,0.00,
2012-10-28,50,34,20,0.00,
2012-10-29,53,33,21,0.00,
2012-10-30,50,36,28,0.00,
2012-10-31,50,29,22,0.00,
2012-11-01,56,27,15,0.00,
2012-11-02,51,33,15,0.00,
2012-11-03,42,30,15,0.14,
2012-11-04,48,30,9,0.00,
2012-11-05,46,30,11,0.00,
2012-11-06,45,30,8,M,
2012-11-07,45,39,10,0.00,
2012-11-08,49,36,10,M,
2012-11-09,63,36,20,M,
2012-11-10,74,52,26,0.00,
2012-11-11,67,43,34,M,
2012-11-12,41,29,23,M,
2012-11-13,41,24,8,0.00,
2012-11-14,43,27,11,0.00,
2012-11-15,47,25,6,0.00,
2012-11-16,52,29,7,M,
2012-11-17,55,28,10,0.00,
2012-11-18,59,30,9,0.00,
2012-11-19,58,34,13,0.00,
2012-11-20,60,47,8,0.00,
2012-11-21,61,36,9,M,
2012-11-22,61,44,24,M,
2012-11-23,44,21,34,0.00,
2012-11-24,30,23,14,0.00,
2012-11-25,46,30,16,0.00,
2012-11-26,44,29,15,0.00,
2012-11-27,37,19,10,0.00,
2012-11-28,47,21,10,0.00,
2012-11-29,53,27,20,0.00,
2012-11-30,60,35,17,0.00,
2012-12-01,63,34,22,M,
2012-12-02,67,53,18,M,
2012-12-03,71,58,29,M,
2012-12-04,60,37,16,M,
2012-12-05,45,33,13,0.00,
2012-12-06,50,30,10,0.00,
2012-12-07,47,43,15,M,
2012-12-08,45,39,14,M,
2012-12-09,50,39,17,M,
2012-12-10,39,28,20,0.00,
2012-12-11,35,20,17,0.00,
2012-12-12,44,21,10,0.00,
2012-12-13,46,29,21,0.00,
2012-12-14,51,29,9,0.00,
2012-12-15,53,38,22,M,
2012-12-16,51,39,17,0.00,
2012-12-17,39,35,10,M,
2012-12-18,47,34,24,M,
2012-12-19,43,35,22,M,
2012-12-20,53,25,46,M,
2012-12-21,27,16,34,0.04,
2012-12-22,32,11,11,0.00,
2012-12-23,37,22,13,0.00,
2012-12-24,32,27,18,M,
2012-12-25,36,27,20,M,
2012-12-26,32,28,29,M,
2012-12-27,31,27,11,0.00,
2012-12-28,32,29,11,M,
2012-12-29,31,16,22,M,
2012-12-30,36,14,17,0.00,
2012-12-31,35,23,16,M,
2013-01-01,22,7,14,M,
2013-01-02,22,2,14,0.00,
2013-01-03,31,14,16,M,
2013-01-04,32,10,18,0.00,
2013-01-05,34,17,15,0.00,
2013-01-06,35,16,23,0.00,
2013-01-07,37,15,21,0.00,
2013-01-08,44,25,15,0.00,
2013-01-09,50,28,15,M,
2013-01-10,48,28,16,M,
2013-01-11,56,49,22,M,
2013-01-12,57,32,24,M,
2013-01-13,32,16,20,0.01,
2013-01-14,25,14,10,0.00,
2013-01-15,29,15,14,0.00,
2013-01-16,36,18,20,M,
2013-01-17,36,19,18,0.00,
2013-01-18,39,18,29,M,
2013-01-19,52,34,28,0.00,
2013-01-20,36,19,28,0.00,
2013-01-21,19,6,26,M,
2013-01-22,15,3,20,0.00,
2013-01-23,33,11,25,0.00,
2013-01-24,25,8,20,0.00,
2013-01-25,34,19,16,M,
2013-01-26,32,13,11,0.00,
2013-01-27,43,20,20,M,
2013-01-28,56,43,22,M,
2013-01-29,61,52,25,M,
2013-01-30,54,23,31,M,
2013-01-31,25,7,30,M,
2013-02-01,21,4,23,0.00,
2013-02-02,29,14,17,M,
2013-02-03,27,16,24,M,
2013-02-04,42,21,17,M,
2013-02-05,40,22,20,M,
2013-02-06,42,28,13,0.00,
2013-02-07,53,30,23,M,
2013-02-08,34,27,24,M,
2013-02-09,40,29,13,0.00,
2013-02-10,51,34,29,M,
2013-02-11,43,29,32,0.00,
2013-02-12,34,23,10,0.00,
2013-02-13,49,27,17,0.00,
2013-02-14,45,31,26,M,
2013-02-15,34,23,20,0.00,
2013-02-16,28,16,18,M,
2013-02-17,36,11,14,0.00,
2013-02-18,54,29,31,M,
2013-02-19,29,18,32,M,
2013-02-20,25,9,17,M,
2013-02-21,31,15,28,M,
2013-02-22,35,27,20,M,
2013-02-23,28,18,13,0.00,
2013-02-24,35,15,8,0.00,
2013-02-25,44,25,20,0.00,
2013-02-26,36,33,25,M,
2013-02-27,34,32,21,M,
2013-02-28,37,31,18,M,
2013-03-01,31,26,17,M,
2013-03-02,31,20,17,M,
2013-03-03,34,16,8,0.00,
2013-03-04,35,26,23,0.00,
2013-03-05,36,28,31,M,
2013-03-06,31,27,26,M,
2013-03-07,34,27,10,M,
2013-03-08,43,24,15,0.00,
2013-03-09,51,34,22,0.01,
2013-03-10,59,48,22,M,
2013-03-11,49,32,24,M,
2013-03-12,42,28,31,M,
2013-03-13,35,24,22,M,
2013-03-14,40,20,15,M,
2013-03-15,56,28,10,M,
2013-03-16,42,33,23,M,
2013-03-17,41,32,20,0.01,
2013-03-18,40,27,31,M,
2013-03-19,42,22,26,0.00,
2013-03-20,30,20,28,0.00,
2013-03-21,35,14,13,0.00,
2013-03-22,44,18,7,0.00,
2013-03-23,50,33,20,0.00,
2013-03-24,34,30,24,M,
2013-03-25,34,28,25,M,
2013-03-26,36,29,15,0.00,
2013-03-27,39,26,9,0.00,
2013-03-28,45,23,7,0.00,
2013-03-29,55,33,8,0.00,
2013-03-30,56,33,16,0.00,
2013-03-31,61,39,21,M,
2013-04-01,45,27,20,0.00,
2013-04-02,48,23,16,0.00,
2013-04-03,49,24,14,0.00,
2013-04-04,58,29,8,0.00,
2013-04-05,61,34,15,0.00,
2013-04-06,73,39,37,0.00,
2013-04-07,73,45,22,0.00,
2013-04-08,74,57,26,0.02,
2013-04-09,77,56,32,0.00,
2013-04-10,72,46,23,M,
2013-04-11,58,39,21,M,
2013-04-12,44,37,26,M,
2013-04-13,51,39,23,0.00,
2013-04-14,74,42,26,0.04,
2013-04-15,66,48,22,M,
2013-04-16,52,45,17,M,
2013-04-17,73,45,20,M,
2013-04-18,70,41,30,M,
2013-04-19,41,35,28,0.01,
2013-04-20,46,31,10,M,
2013-04-21,55,34,17,0.00,
2013-04-22,68,38,16,M,
2013-04-23,58,40,20,M,
2013-04-24,48,37,20,M,
2013-04-25,55,36,24,0.00,
2013-04-26,62,36,18,0.00,
2013-04-27,62,44,18,0.45,
2013-04-28,60,52,13,M,
2013-04-29,72,45,21,0.01,
2013-04-30,83,56,20,M,
2013-05-01,83,55,15,0.00,
2013-05-02,79,48,21,0.24,
2013-05-03,71,46,22,0.06,
2013-05-04,62,54,17,M,
2013-05-05,66,53,15,0.09,
2013-05-06,69,54,14,0.00,
2013-05-07,76,55,9,0.00,
2013-05-08,80,55,7,0.00,
2013-05-09,67,58,17,M,
2013-05-10,66,49,14,M,
2013-05-11,64,40,29,0.00,
2013-05-12,58,35,20,0.00,
2013-05-13,67,38,15,0.00,
2013-05-14,88,54,22,0.00,
2013-05-15,87,65,26,0.00,
2013-05-16,83,64,16,0.00,
2013-05-17,83,57,16,M,
2013-05-18,81,59,13,0.00,
2013-05-19,91,59,22,0.00,
2013-05-20,90,64,25,M,
2013-05-21,81,64,23,0.09,
2013-05-22,76,61,22,M,
2013-05-23,61,44,23,M,
2013-05-24,68,40,14,0.00,
2013-05-25,62,46,15,0.36,
2013-05-26,64,52,17,M,
2013-05-27,78,59,21,M,
2013-05-28,81,64,28,0.00,
2013-05-29,87,65,24,0.00,
2013-05-30,88,66,33,M,
2013-05-31,77,64,29,M,
2013-06-01,72,61,23,M,
2013-06-02,67,54,15,M,
2013-06-03,67,50,13,0.00,
2013-06-04,74,51,15,0.00,
2013-06-05,81,58,10,0.00,
2013-06-06,80,62,16,0.00,
2013-06-07,74,57,11,0.00,
2013-06-08,80,53,9,0.00,
2013-06-09,84,62,18,M,
2013-06-10,80,61,14,M,
2013-06-11,87,59,17,0.00,
2013-06-12,96,70,24,0.00,
2013-06-13,83,62,20,M,
2013-06-14,82,55,11,0.00,
2013-06-15,83,65,20,M,
2013-06-16,81,67,18,0.03,
2013-06-17,86,65,13,0.00,
2013-06-18,86,63,17,M,
2013-06-19,84,61,11,0.00,
2013-06-20,88,64,13,0.00,
2013-06-21,90,68,15,M,
2013-06-22,86,66,20,M,
2013-06-23,81,67,18,M,
2013-06-24,88,66,14,M,
2013-06-25,88,66,17,M,
2013-06-26,M,M,M,M,
2013-06-27,88,71,18,M,
2013-06-28,83,66,20,M,
2013-06-29,74,63,14,0.30,
2013-06-30,75,63,17,M,
2013-07-01,77,63,18,0.03,
2013-07-02,69,62,15,M,
2013-07-03,75,60,6,M,
2013-07-04,79,58,13,M,
2013-07-05,81,62,10,M,
2013-07-06,77,67,9,0.00,
2013-07-07,86,65,14,0.00,
2013-07-08,86,70,17,0.00,
2013-07-09,90,75,11,0.01,
2013-07-10,85,69,20,0.90,
2013-07-11,80,60,13,0.00,
2013-07-12,81,55,8,0.00,
2013-07-13,83,63,10,M,
2013-07-14,88,66,10,0.00,
2013-07-15,88,72,11,0.00,
2013-07-16,90,69,7,0.00,
2013-07-17,91,70,5,0.00,
2013-07-18,92,72,9,0.00,
2013-07-19,92,75,13,0.00,
2013-07-20,85,70,9,M,
2013-07-21,79,68,7,M,
2013-07-22,84,68,8,0.46,
2013-07-23,84,64,14,M,
2013-07-24,75,58,10,0.00,
2013-07-25,77,53,8,0.00,
2013-07-26,75,60,11,0.04,
2013-07-27,71,52,13,0.00,
2013-07-28,73,49,15,0.00,
2013-07-29,77,52,7,0.00,
2013-07-30,70,63,9,M,
2013-07-31,77,64,8,M,
2013-08-01,81,60,11,M,
2013-08-02,79,61,13,0.00,
2013-08-03,82,59,8,M,
2013-08-04,77,57,7,0.00,
2013-08-05,77,57,9,0.00,
2013-08-06,83,66,8,M,
2013-08-07,82,69,8,M,
2013-08-08,79,68,8,M,
2013-08-09,82,62,8,0.00,
2013-08-10,82,62,9,M,
2013-08-11,82,57,5,M,
2013-08-12,82,63,10,M,
2013-08-13,75,55,13,M,
2013-08-14,70,49,8,0.00,
2013-08-15,74,49,9,0.00,
2013-08-16,77,60,10,0.00,
2013-08-17,79,60,9,M,
2013-08-18,83,62,9,0.00,
2013-08-19,84,59,5,0.00,
2013-08-20,86,61,5,0.00,
2013-08-21,86,63,9,M,
2013-08-22,86,68,16,0.01,
2013-08-23,83,65,8,0.00,
2013-08-24,86,62,10,0.00,
2013-08-25,87,60,8,0.00,
2013-08-26,88,64,9,0.00,
2013-08-27,90,71,13,0.00,
2013-08-28,92,70,14,0.00,
2013-08-29,85,66,8,M,
2013-08-30,94,65,15,M,
2013-08-31,96,67,14,M,
2013-09-01,81,67,8,M,
2013-09-02,84,63,10,0.00,
2013-09-03,76,55,7,0.00,
2013-09-04,83,53,6,0.00,
2013-09-05,87,57,7,0.00,
2013-09-06,86,60,8,0.00,
2013-09-07,88,63,14,0.00,
2013-09-08,86,68,8,0.01,
2013-09-09,95,68,13,0.00,
2013-09-10,96,71,13,M,
2013-09-11,95,70,14,0.00,
2013-09-12,85,59,17,0.03,
2013-09-13,72,52,13,0.00,
2013-09-14,74,45,9,0.00,
2013-09-15,77,48,11,M,
2013-09-16,68,52,14,M,
2013-09-17,76,50,10,0.00,
2013-09-18,86,61,14,0.00,
2013-09-19,93,71,15,0.03,
2013-09-20,77,56,15,M,
2013-09-21,72,50,11,0.01,
2013-09-22,74,44,9,0.00,
2013-09-23,76,46,11,0.00,
2013-09-24,79,47,10,0.00,
2013-09-25,82,57,9,M,
2013-09-26,83,54,8,0.00,
2013-09-27,84,50,11,0.00,
2013-09-28,85,52,20,0.00,
2013-09-29,74,56,11,0.08,
2013-09-30,78,52,13,M,
2013-10-01,82,62,14,0.00,
2013-10-02,77,63,10,M,
2013-10-03,87,64,18,M,
2013-10-04,89,66,14,M,
2013-10-05,82,61,13,M,
2013-10-06,64,46,20,0.04,
2013-10-07,68,43,13,M,
2013-10-08,77,44,9,0.00,
2013-10-09,76,47,8,0.00,
2013-10-10,79,51,8,0.00,
2013-10-11,79,53,13,0.00,
2013-10-12,74,54,14,0.00,
2013-10-13,71,45,9,0.00,
2013-10-14,70,42,13,0.00,
2013-10-15,64,53,15,M,
2013-10-16,55,40,15,0.00,
2013-10-17,59,41,16,M,
2013-10-18,56,40,14,0.00,
2013-10-19,56,41,22,M,
2013-10-20,69,37,28,0.00,
2013-10-21,52,29,14,0.00,
2013-10-22,50,27,16,M,
2013-10-23,45,34,11,M,
2013-10-24,43,27,16,M,
2013-10-25,51,23,13,0.00,
2013-10-26,61,32,23,0.00,
2013-10-27,57,26,10,0.00,
2013-10-28,63,31,8,0.00,
2013-10-29,58,38,14,0.06,
2013-10-30,67,51,21,M,
2013-10-31,64,47,22,M,
2013-11-01,54,41,21,M,
2013-11-02,50,31,16,0.00,
2013-11-03,55,29,13,0.00,
2013-11-04,59,40,21,0.00,
2013-11-05,59,50,21,0.06,
2013-11-06,58,35,25,M,
2013-11-07,49,28,18,0.00,
2013-11-08,52,25,20,0.00,
2013-11-09,64,39,23,0.00,
2013-11-10,50,31,15,0.00,
2013-11-11,52,29,23,M,
2013-11-12,32,20,21,0.00,
2013-11-13,39,16,17,0.00,
2013-11-14,53,27,23,0.00,
2013-11-15,52,38,16,M,
2013-11-16,62,46,30,0.03,
2013-11-17,70,41,37,M,
2013-11-18,50,28,26,0.00,
2013-11-19,44,21,14,0.00,
2013-11-20,45,26,17,0.06,
2013-11-21,49,43,15,M,
2013-11-22,48,28,17,M,
2013-11-23,28,15,24,0.00,
2013-11-24,26,10,13,0.00,
2013-11-25,34,23,18,0.00,
2013-11-26,38,21,22,M,
2013-11-27,28,13,20,0.00,
2013-11-28,39,16,20,0.00,
2013-11-29,40,16,11,0.00,
2013-11-30,52,26,17,0.00,
2013-12-01,50,26,10,0.00,
2013-12-02,46,33,11,M,
2013-12-03,52,35,17,M,
2013-12-04,61,42,23,M,
2013-12-05,43,23,20,M,
2013-12-06,22,12,16,0.00,
2013-12-07,24,9,11,0.00,
2013-12-08,27,19,17,M,
2013-12-09,26,12,20,M,
2013-12-10,28,-1,24,0.00,
2013-12-11,27,3,18,0.00,
2013-12-12,26,-2,17,0.00,
2013-12-13,39,14,14,0.19,
2013-12-14,M,M,20,M,
2013-12-15,23,12,21,M,
2013-12-16,25,16,16,M,
2013-12-17,28,13,15,M,
2013-12-18,37,8,28,0.00,
2013-12-19,43,36,22,M,
2013-12-20,59,33,18,M,
2013-12-21,37,32,18,M,
2013-12-22,36,28,21,M,
2013-12-23,26,6,18,M,
2013-12-24,20,4,15,0.00,
2013-12-25,31,21,17,M,
2013-12-26,37,19,21,0.00,
2013-12-27,46,26,16,0.00,
2013-12-28,53,33,15,0.00,
2013-12-29,37,16,21,M,
2013-12-30,20,7,16,0.00,
2013-12-31,31,14,14,0.00,
2014-01-01,34,20,15,0.04,
2014-01-02,20,-2,23,M,
2014-01-03,20,-8,24,0.00,
2014-01-04,36,21,25,M,
2014-01-05,M,M,39,M,
2014-01-06,-6,-13,34,M,
2014-01-07,11,-10,15,0.00,
2014-01-08,21,4,9,0.01,
2014-01-09,32,15,15,M,
2014-01-10,41,32,23,M,
2014-01-11,40,31,22,M,
2014-01-12,44,29,23,M,
2014-01-13,51,27,23,0.00,
2014-01-14,38,26,30,0.02,
2014-01-15,25,16,22,M,
2014-01-16,37,22,26,0.01,
2014-01-17,27,10,23,0.00,
2014-01-18,29,11,21,M,
2014-01-19,38,16,23,0.00,
2014-01-20,40,26,21,M,
2014-01-21,25,1,26,M,
2014-01-22,20,-2,28,M,
2014-01-23,6,-8,21,0.00,
2014-01-24,25,-5,32,0.00,
2014-01-25,34,7,31,M,
2014-01-26,43,15,41,0.00,
2014-01-27,12,-2,32,0.00,
2014-01-28,13,-6,14,0.00,
2014-01-29,29,5,21,0.00,
2014-01-30,37,19,36,0.00,
2014-01-31,30,22,13,M,
2014-02-01,37,28,13,M,
2014-02-02,26,11,17,0.00,
2014-02-03,25,6,11,0.00,
2014-02-04,23,17,25,0.13,
2014-02-05,26,3,24,0.04,
2014-02-06,4,-8,15,0.00,
2014-02-07,10,-12,9,0.00,
2014-02-08,22,10,10,M,
2014-02-09,21,5,14,M,
2014-02-10,7,-8,11,0.00,
2014-02-11,10,-12,8,0.00,
2014-02-12,22,-4,9,0.00,
2014-02-13,32,4,18,0.00,
2014-02-14,22,2,17,M,
2014-02-15,24,-6,14,M,
2014-02-16,25,9,18,0.00,
2014-02-17,36,16,29,M,
2014-02-18,42,24,22,0.00,
2014-02-19,37,31,16,0.00,
2014-02-20,55,35,37,M,
2014-02-21,43,33,32,0.00,
2014-02-22,44,29,11,M,
2014-02-23,29,20,14,0.00,
2014-02-24,26,16,15,0.00,
2014-02-25,24,11,22,M,
2014-02-26,19,4,21,0.00,
2014-02-27,21,7,22,0.00,
2014-02-28,36,6,17,0.00,
2014-03-01,35,20,17,M,
2014-03-02,20,6,21,M,
2014-03-03,18,2,17,0.00,
2014-03-04,32,11,13,0.00,
2014-03-05,32,21,20,0.00,
2014-03-06,40,19,14,M,
2014-03-07,52,24,11,0.00,
2014-03-08,38,27,18,M,
2014-03-09,47,24,17,M,
2014-03-10,61,36,20,0.00,
2014-03-11,66,34,28,M,
2014-03-12,38,24,32,M,
2014-03-13,44,21,20,M,
2014-03-14,60,34,29,0.00,
2014-03-15,54,30,25,0.00,
2014-03-16,32,22,33,0.00,
2014-03-17,40,17,16,0.00,
2014-03-18,51,27,28,0.00,
2014-03-19,48,30,29,M,
2014-03-20,55,29,16,0.00,
2014-03-21,70,33,20,0.00,
2014-03-22,47,29,26,0.00,
2014-03-23,35,23,20,M,
2014-03-24,37,21,9,0.00,
2014-03-25,32,17,24,M,
2014-03-26,43,14,21,0.00,
2014-03-27,53,35,33,M,
2014-03-28,55,40,28,M,
2014-03-29,40,30,18,M,
2014-03-30,57,24,13,0.00,
2014-03-31,68,39,30,0.00,
2014-04-01,56,35,26,0.03,
2014-04-02,53,42,21,M,
2014-04-03,54,44,28,M,
2014-04-04,55,37,32,0.00,
2014-04-05,53,31,11,0.00,
2014-04-06,57,31,11,0.00,
2014-04-07,51,42,18,0.20,
2014-04-08,62,37,18,M,
2014-04-09,62,33,16,0.00,
2014-04-10,76,46,29,0.00,
2014-04-11,71,41,11,0.00,
2014-04-12,79,45,32,0.00,
2014-04-13,72,61,30,M,
2014-04-14,63,32,29,M,
2014-04-15,42,29,18,M,
2014-04-16,53,29,23,0.00,
2014-04-17,65,34,18,0.00,
2014-04-18,68,41,17,0.00,
2014-04-19,73,36,14,0.00,
2014-04-20,79,41,13,0.00,
2014-04-21,74,56,21,M,
2014-04-22,66,42,21,0.00,
2014-04-23,62,37,17,0.01,
2014-04-24,73,47,28,0.10,
2014-04-25,73,51,24,M,
2014-04-26,82,47,21,0.00,
2014-04-27,77,51,25,0.51,
2014-04-28,72,55,29,M,
2014-04-29,67,49,31,0.05,
2014-04-30,50,45,17,M,
2014-05-01,52,42,23,M,
2014-05-02,54,45,17,0.01,
2014-05-03,71,46,21,0.00,
2014-05-04,69,46,24,0.00,
2014-05-05,75,47,18,0.00,
2014-05-06,81,50,24,0.00,
2014-05-07,87,65,25,0.00,
2014-05-08,91,65,33,0.01,
2014-05-09,79,56,26,M,
2014-05-10,77,54,11,0.00,
2014-05-11,84,59,21,0.35,
2014-05-12,85,66,28,M,
2014-05-13,69,52,16,M,
2014-05-14,53,45,21,M,
2014-05-15,57,45,23,M,
2014-05-16,52,41,18,M,
2014-05-17,57,37,11,0.00,
2014-05-18,66,40,9,0.00,
2014-05-19,74,44,23,0.00,
2014-05-20,86,60,22,0.00,
2014-05-21,89,68,18,M,
2014-05-22,76,58,16,0.00,
2014-05-23,77,55,14,0.00,
2014-05-24,77,51,10,0.00,
2014-05-25,82,61,14,0.00,
2014-05-26,88,60,22,0.00,
2014-05-27,86,67,15,0.48,
2014-05-28,86,66,17,0.00,
2014-05-29,83,64,20,M,
2014-05-30,87,65,15,0.00,
